QID,domain,subdomain,question,imageURL,options,answer,explaination
478,Elements Principles & Processes,Oxidation Reduction,Which of the following processes involves the dissolution of the ore in a suitable reagent followed by precipitation of the metal by a more reactive metal?,0,"['Froth floatation', 'Casting', 'Smelting', 'Hydrometallurgy']",a,The process of extraction of metals by dissolving the ore in a suitable reagent followed by precipitation or displacement of the metal by a more reactive or more electropositive metal is called hydrometallurgy.
479,Elements Principles & Processes,Oxidation Reduction,Which of the following metals cannot be extracted via hydrometallurgy?,0,"['Copper', 'Zinc', 'Iron', 'Gold']",c,"For hydrometallurgy, the ore needs to be able to dissolve in a reagent and the metal should form a soluble complex. Copper, gold and silver ores are more suitable to be obtained via hydrometallurgy and iron is usually obtained via the blast furnace."
480,Elements Principles & Processes,Refining,Refining is not an important process in metallurgy.,0,"['True', 'False']",b,"The metals obtained by the metallurgical processes are impure and contain several unwanted impurities such as other metals, non-metals, unreacted compounds and so on. Hence, refining is an important process to ensure the purity of the metal."
481,Elements Principles & Processes,Refining,Which of the following is not an impurity generally present in crude metals?,0,"['Other metals', 'Non-metals', 'Unreacted oxides', 'Pine oil']",d,"The impurities generally present in crude metals consist of other metals, formed by reduction of their respective oxides present in the ore, non-metals such as silicon and phosphorus, unreacted oxides and sulphides of the metals and substances taken up in the furnace such as slag."
482,Elements Principles & Processes,Refining,Which of the following metals cannot be refined by distillation?,0,"['Zinc', 'Cadmium', 'Mercury', 'Tin']",d,"Distillation process is used for refining metals that are usually volatile in nature. Zinc, cadmium and mercury are refined vial distillation where the pure metal distils over, leaving behind the non-volatile impurities."
483,Elements Principles & Processes,Refining,Zone refining is also called fractional crystallization.,0,"['True', 'False']",a,Zone refining is a method of purification or refining of crude metals which is extremely useful for producing metals of very high quality. It is also known as fractional crystallization as the pure metal crystallizes out in the process.
484,Elements Principles & Processes,Refining,Which of the following processes is used to purify lead?,0,"['Distillation', 'Liquation', 'Electrolytic refining', 'Zone refining']",b,"Liquation is used for purification of metals that contain impurities which are less fusible than the metals themselves, that is, the melting points of the metals are lower than that of the impurities. Lead is refined by liquation process."
485,Elements Principles & Processes,Refining,What is the anode made up of in electrolytic refining?,0,"['Impure metal', 'The metal ore', 'Pure metal', 'Double salt of metal']",a,"In electrolytic refining, the impure metal is converted to a block which forms the anode while the cathode is made up of a pure strip of the same metal. The electrolyte used is generally a solution of a soluble salt of the metal, usually, a double salt of the metal."
486,Elements Principles & Processes,Refining,What is the purity range for copper obtained from electrolytic refining?,0,"['90-95%', '98-99%', '100%', '99.95-99.99%']",d,The result of electrolytic refining is the transfer of pure metal from the anode to the cathode. The impurities of more basic metals remain in the electrolytic solution as ions and that of less basic metals settle down as anode mud. Copper refined through electrolysis is 99.95-99.99% pure.
487,Elements Principles & Processes,Refining,Which of the following is an electrolyte used during the electrolytic refining of copper?,0,"['Copper sulphate solution', 'Copper sulphate solution acidified with sulphuric acid', 'Sulphuric acid', 'Copper chloride']",b,"In the electrolytic refining of copper, crude copper or blister copper is made the anode, a thin sheet of pure copper is made the cathode and a solution of copper sulphate acidified by sulphuric acid is used as the electrolyte."
488,Elements Principles & Processes,Refining,Which of the following is not refined by zone refining method?,0,"['Germanium', 'Silicon', 'Gallium', 'Gold']",d,"Zone refining is based on the principle that the impurities are more soluble in the molten state than in the solid state of the metal. Semiconductors such as germanium, silicon and gallium are refined by zone refining. Gold is generally refined via electrolysis."
489,Elements Principles & Processes,Refining,Why is zone refining carried out in an inert atmosphere?,0,"['To prevent reduction of metal', 'To prevent oxidation of metal', 'To reduce the external pressure', 'To reduce the external temperature']",b,"In zone refining, when the melt of an impure metal is allowed to cool, the pure metal crystallizes out while the impurities remain in the melt. This process is usually carried out in an inert atmosphere to prevent the oxidation of the metal."
490,Elements Principles & Processes,"Aluminium, Copper & Iron",Which metal is used for galvanising iron?,0,"['Brass', 'Zinc', 'Copper', 'Aluminium']",b,Zinc is used for galvanising iron to protect it from corrosion. Galvanisation is a process of applying a protective zinc coating on iron or steel to prevent it from rusting. The most common method in galvanising is hot-dip method.
491,Elements Principles & Processes,"Aluminium, Copper & Iron",Zinc dust is used as a reducing agent in the manufacture of paints.,0,"['True', 'False']",a,"Yes, zinc dust is a strong reducing agent used in the laboratory. It is also used in the manufacturing of drugs. It is used as a precipitant for many metals like copper, iron, aluminium to purify the solution containing metals."
492,Elements Principles & Processes,"Aluminium, Copper & Iron",Which of the following metals is a good conductor of electricity and conducts electricity twice as much as the other elements?,0,"['Fe', 'Cu', 'Hg', 'Al']",d,"Aluminium is light, cheapmetal and good conductor electricity and resists corrosion. It conducts electricity twice as that of copper. It is used for making transmission cables and for winding the moving coil of dynamos or motor."
493,Elements Principles & Processes,"Aluminium, Copper & Iron","In thermite process, what is the reducing agent used?",0,"['C', 'Zn', 'Na', 'Al']",d,"Thermite process proceeds via a thermite reaction. Thermite reaction involves the oxidation of the metal aluminium by the oxide of another metal, usually iron oxide. In this reaction, since aluminium is the element being oxidised, it acts as a reducing agent."
494,Elements Principles & Processes,"Aluminium, Copper & Iron",What type of extraction is the carbon monoxide reduction process used for?,0,"['Cu', 'Ag', 'Fe', 'Sn']",c,"The reduction of the ore. At the high temperature at the bottom of the furnace, carbon dioxide reacts with carbon to produce carbon monoxide. It is the carbon monoxide which is the main reducing agent in the furnace. In the hotter parts of the furnace, the carbon itself also acts as a reducing agent."
495,Elements Principles & Processes,"Aluminium, Copper & Iron",Which of the following is present in aluminium bronze alloy?,0,"['Bronze', 'Copper', 'Brass', 'Iron']",b,Aluminium bronze is an alloy made up of aluminium and copper. Its percentage composition is 95% of aluminium and 5% of copper. It is mainly used for making coins. It is a light strong alloy with golden lustre and resistant to corrosion.
496,Elements Principles & Processes,"Aluminium, Copper & Iron","In invar, what is the composition of iron and nickel?",0,"['Fe-64%, Ni-36%', 'Ni-68%, Fe-32%', 'Fe-36%, Ni-64%', 'Fe-62%, Ne-38%']",a,Invar (FeNe36) is an alloy of steel which is a combination of iron and nickel. It’s percentage of the composition is 64% of Iron and 36% of Nickel. It’s mainly used for making watches. It has practically no coefficient of expansion.
497,Elements Principles & Processes,"Aluminium, Copper & Iron",What is the name of the alloy of copper called which contains a composition of 30-35% of zinc?,0,"['Bronze', 'Duralumin', 'Magnalium', 'Brass']",d,"Brass is an alloy of copper which contains 60% of copper and 40% of zinc. It is highly ductile in nature, corrosion resistant and is mainly used for making parts of machinery and condenser tubes. It is also used for making utensils."
498,Elements Principles & Processes,"Aluminium, Copper & Iron",Cast iron is the most important form of iron.,0,"['True', 'False']",a,"Cast iron is the most important form of iron because of it’s resistance to abrasion and indentation, the ability to absorb energy and the ability to deform without fracture and the ability to return to original dimension after being deformed."
499,Elements Principles & Processes,"Aluminium, Copper & Iron",Which metal is used for making water and steam pipes?,0,"['Zinc', 'Aluminium', 'Copper', 'Iron']",c,"Copper is used because of its high thermal conductivity. This is higher than all other metals except silver, a precious metal. Copper has a 60% better thermal conductivity rating than aluminium and a 3,000% better rating than stainless steel."
500,P-Block Elements,Group 15 Elements,Which of the following represents the general electronic configuration of an element belonging to the p-block of the periodic table?,0,"['(n-2)f<sup>0</sup>(n-1)d<sup>0</sup>ns<sup>2</sup> np<sup>0 -6</sup>', '(n-2)f<sup>0</sup>(n-1)d<sup>1 – 10</sup> ns<sup>2</sup> np<sup>1- 6</sup>', '(n-2)f<sup>0</sup>(n-1)d<sup>0</sup> ns<sup>2</sup>np<sup>1-6</sup>', '(n-2)f<sup>1- 14</sup>(n-1)d<sup>1- 10</sup>ns<sup>2</sup>np<sup>1- 6</sup>']",c,"The general configuration representation of p-block elements is (n-2)f<sup>0</sup>(n-1)d<sup>0</sup>ns<sup>2</sup>np<sup>1-6</sup>. This is because the s-subshell is completely filled, whereas, the p-subshell contains at least 1 electron. Other options are ruled out since either or both d – and f – subshell are partially filled."
501,P-Block Elements,Group 15 Elements,What happens to the size of atoms of elements of p-block as we move from left to right in the same period?,0,"['Size increases', 'Size decreases', 'Size does not change', 'Size increases then decreases']",b,"The size of the atoms of the elements decrease from left to right in the same period. Considering the row to be the same, the electrons are added to the same shell. However, the increase in atomic number reflects the increase in number of protons i.e. the positive charge. Hence, the overall effective nuclear charge increases. Consequently, the electron cloud is pulled even more closer to the nucleus of the atom. Therefore, the size decreases."
502,P-Block Elements,Group 15 Elements,What is the maximum covalency of the nitrogen atom?,0,"['One', 'Two', 'Three', 'Four']",d,"Covalency of an atom refers to the number of electrons that atom can share to form chemical bonds. Usually it is the number of bonds formed by the atom. In case of nitrogen, its atom can share up to four electrons, one in the s-subshell and the other three in the p-subshell. In addition to this, absence of d-orbitals restricts its covalency to four only."
503,P-Block Elements,Group 15 Elements,Why does nitrogen show poor tendency towards catenation?,0,"['N atom can form multiple pπ – pπ bonds', 'Octet of N<sub>2</sub> is complete unlike carbon', 'The N ≡ N is unreactive at room temperature', 'The N – N single bond is weaker and unstable']",d,The N – N single bond is highly weak and unstable due to high magnitude of inter-electronic repulsions of non-bonding electrons which in turn is caused by the single bond’s small bond length. As a result the catenation tendency becomes weaker due to the mentioned factors leading to instability.
504,P-Block Elements,Group 15 Elements,What is the primary product of  Haber-Bosch process?,0,"['Ammonia', 'Nitric acid', 'Nitrous acid', 'Pyridine']",a,"The primary product of Haber-Bosch process is ammonia, NH<sub>3</sub>. In this process, N<sub>2</sub><sub>(g)</sub> and H<sub>2</sub><sub>(g)</sub> are reacted at a high temperature of 700 K and 200 atm pressure in presence of iron-bed catalysts. It is an exothermic process which takes place in accordance with Le Chatelier’s principle. Nitric acid is produced by Ostwald’s process. Nitrous acid is produced by reacting sodium nitrite with a mineral and pyridine by Chichibabin process."
505,P-Block Elements,Group 15 Elements,Which gas is released when copper chips are subjected to concentrated nitric acid?,0,"['Nitrogen (I) oxide', 'Nitrogen (II) oxide', 'Nitrogen (III) oxide', 'Nitrogen (IV) oxide']",d,"Treating copper chips with concentrated nitric acid releases toxic brown gas, NO<sub>2</sub>, nitrogen (IV) oxide. It is a reddish-brown gas with pungent odor."
506,P-Block Elements,Group 15 Elements,What shape is the HNO<sub>3</sub> molecule in its gaseous state?,0,"['Bent', 'Linear', 'Planar', 'See Saw']",c,"In the gas state, the nitric acid molecule has a triangular planar shape with a steric number of 3 no lone pairs of electron. There are two major resonance forms of nitric acid."
507,P-Block Elements,Group 15 Elements,Which of the following ions is the brown ring test useful for determining?,0,"['NO<sub>2</sub><sup>–</sup>', 'NO<sub>2</sub><sup>+</sup>', 'NO<sub>2</sub>', 'NO<sub>3</sub><sup>–</sup>']",d,"The brown ring test is used to determine the presence of nitrate ions, NO<sub>3</sub><sup>–</sup>. Dilute ferrous sulfate solution is added to solution containing nitrate ion. Following this, concentrated sulfuric acid is added along the sides of the test tube. A brown ring is formed at the junction concentrated sulfuric acid and solutions."
508,P-Block Elements,Group 15 Elements,What catalyst is used for oxidation of ammonia to produce nitric acid?,0,"['Palladium hydride', 'Sodium amalgam', 'Platinum-Rhodium gauze', 'Vanadium (V) oxide']",c,Ammonia is oxidized to nitrogen (II) oxide in the presence of Pt/Rh gauze catalyst at a temperature of 500 K and a pressure of 9 bars. The nitrous oxide is then converted to nitrogen dioxide which is further reacted with water to produce nitric acid. The NO formed is recycled.
509,P-Block Elements,Group 15 Elements,What is the oxidation state of nitrogen in di-nitrogen trioxide?,0,"['+1', '+2', '+3', '+4']",c,Di-nitrogen trioxide is formulated as N<sub>2</sub>O<sub>3</sub>
510,P-Block Elements,Dinitrogen,Which of the following compounds can be used to obtain free nitrogen?,0,"['NaNO<sub>2</sub>', 'HNO<sub>2</sub>', 'HNO<sub>3</sub>', 'Ba<sub>3</sub>N<sub>2</sub>']",a,"NaNO<sub>2</sub>, sodium nitriteis the only convenient compound that can be used to obtain free nitrogen, even in laboratories. Sodium nitrite can be reacted with ammonium chloride, both in aqueous form, producing NaCl and nitrogen, N<sub>2</sub> along with water and small traces of HNO<sub>3</sub> and NO."
511,P-Block Elements,Dinitrogen,How many stable isotopes does the nitrogen atom have?,0,"['16', '20', '2', '3']",c,"The nitrogen atom has two stable isotopes: <sup>14</sup>N and <sup>15</sup>N, 99.6% and 0.4% (by mass) respectively. There are also fourteen known radioisotopes with one additional nuclear isomer."
512,P-Block Elements,Dinitrogen,Nitrogen atom is represented at <sup>14</sup><sub>7</sub>N. How many electrons does it need to attain the noble gas configuration?,0,"['1', '2', '3', '4']",c,"With five electrons in its outer most shell, it needs three more electrons to have a complete shell consisting of eight electrons which is the noble electronic configuration. The ion formed by the nitrogen atom is N<sup>3-</sup>. It attains the electronic configuration on neon."
513,P-Block Elements,Dinitrogen,Why does nitrogen show anomalous properties with respect to other elements in group 15?,0,"['Nitrogen has low ionization enthalpy', 'Nitrogen atomhas high inter-electronic repulsions', 'Nitrogen molecule bears a triple bond', 'Absence of vacant d-orbitals']",d,"Nitrogen shows anomalous properties compared to other elements of group 15 because of the absence of vacant d-orbitals. In addition to this, anomalous properties are a result of nitrogen atom’s smaller size, highest electronegativity and highest ionization energy with respect to all the elements in group 15."
514,P-Block Elements,Dinitrogen,Why is nitrogen preferably used in welding process and cooling of substances?,0,"['It’s a gas and can easily be handled', 'It has an extremely low freezing point', 'It is an inert gas', 'It is non-toxic']",c,"Gases like argon is also nontoxic. However, nitrogen gas is still the most preferred since it eliminates all the possibilities of unwanted oxidation and explosions. In the welding industry this prevents metals from corroding. Nitrogen is used in the food industry for packaging since it provides a pressurized atmosphere that reduces package collapse."
515,P-Block Elements,Dinitrogen,Which oxide of nitrogen is released from car engines?,0,"['Nitrogen dioxide', 'Nitric oxide', 'Nitrous oxide', 'Nitrogen tetroxide']",b,"Car engines release only nitric oxides. Nitrogen and oxygen from the air combine at high temperatures in the engine to produce nitrogen (II) oxide by the reaction N<sub>2</sub><sub>(g)</sub> + O<sub>2</sub><sub>(g)</sub> → 2NO<sub>(g)</sub>. Nitric oxides rise in the atmosphere and are oxidized to nitrogen dioxide, NO<sub>2</sub> which dissolves in the precipitating water to form acid rain."
516,P-Block Elements,Dinitrogen,What is the name of the natural process that is responsible for replenishing N<sub>2</sub> back in the atmosphere from NO<sub>3</sub><sup>–</sup>?,0,"['Nitrification', 'Nitrogen fixation', 'De-nitrification', 'Nitrate fixation']",c,"All the mentioned steps are critical in the nitrogen cycle. However, de-nitrification is that particular step where microbes in the soil reduce nitrate ions, NO<sub>3</sub><sup>–</sup>, to free nitrogen gas, N<sub>2</sub>. It also releases few nitrogen oxides as by-products."
517,P-Block Elements,Dinitrogen,"When liquid nitrogen is poured onto the hand, it slips away without affecting the hand actually. What is this phenomenon called?",0,"['Kaye effect', 'Kinetic isotope effect', 'Kondo effect', 'Leiden frost effect']",d,The Leiden frost effect creates a small layer of insulating vapor layer just at the instant when the liquid particle strikes a surface comparatively a lot hotter than liquid. Liquid nitrogen is at              -196°C and the human body at 38°C. This insulating vapor layer prevents the liquid to further come in contact with the body which then slips away.
518,P-Block Elements,Dinitrogen,Which group does the name ‘pnictogens’ refer to?,0,"['Group 11', 'Group 13', 'Group 15', 'Group 14']",c,"The group 15 of periodic table is better known as the ‘pnicogens’. Pnicogen means ‘to choke’. Since all the elements in this group is choking in nature, including the choking property of nitrogen. Group 11 does not have a specific name; group 13 is referred to as the Boron group. Group 14 is known as the Carbon group."
519,P-Block Elements,Dinitrogen,How many allotropes does nitrogen have?,0,"['Zero', 'One', 'Two', 'Three']",a,"Nitrogen atom does not exhibit allotropy. This is because of its relatively small size and high inter-electronic repulsion due to which the N – N becomes extremely weak. However, theoretically there are two predicted forms of allotropes of nitrogen. First, alpha nitrogen assumes a cubic structure and exists only below 35.6 K which is a whooping -237.55°C. Beta nitrogen exists from 35.6 K to 63.15 K. After that, it melts."
520,P-Block Elements,Ammonia,What is the chemical formula of ammonia?,0,"['NH<sub>2</sub>', 'NH<sub>3</sub>', 'NH<sub>4</sub><sup>+</sup>', 'NH<sub>5</sub>']",a,Ammonia is a tri-hydride of nitrogen. It is a colorless gas with a highly pungent smell that causes nasal irritation. It is the most stable hydride of any element in group 15.
521,P-Block Elements,Ammonia,What kind of smell is ammonia recognized by?,0,"['Acidic', 'Sweet', 'Rotten', 'Pungent']",d,"Ammonia has a highly pungent smell. With a sharp, pinching smell, it causes severe irritation in the nose and throat. This pungent smell of ammonia is used as a means to identify the presence of ammonium cation, NH<sub>4</sub><sup>+</sup> in salt analysis."
522,P-Block Elements,Ammonia,How many unshared pair of electrons does an ammonia molecule have?,0,"['1', '2', '3', '4']",a, The nitrogen atom in NH<sub>3</sub> (ammonia) bears one lone pair of electron. Each single electron of hydrogen is bonded to the nitrogen atom. Three of out five electrons of nitrogen are involved in bonding whereas the unbounded two electrons make up the single unshared pair of electron.
523,P-Block Elements,Ammonia,What happens when sodium is put in a solution of ammonia?,0,"['', 'It generates a lot of heat', 'It does not dissolve', 'It produces deep blue color', 'Ammonia liquid evaporates due to heat']",c,"When sodium is introduced to liquid ammonia, it separates into sodium ion and a single electron (Na → Na<sup>+</sup> + e<sup>–</sup>). The single electron produces the deep blue color due to solvation effect producing e<sup>–</sup>[NH<sub>3</sub>]<sub>n</sub>."
524,P-Block Elements,Ammonia,What is one method of qualitatively analyzing a given salt for presence of ammonia?,0,"['Solution turns blue litmus red', 'Heating the salt causing decrepitation', 'Using a reagent to obtain dirty brown precipitate', 'Addition of NaOH causing white gelatinous precipitate']",c,"Typically, Nessler’s reagent is used to test for ammonia. Nessler’s reagent is an alkaline solution of potassium tetraiodomercurate (II). When it combines with ammonia it gives dirty brown precipitate due to the formation of [OHg<sub>2</sub>.NH<sub>2</sub>]I. Another method is to add a strong base and heat the mixture. The gas given off is pungent and turns red litmus blue."
525,P-Block Elements,Ammonia,What is the most acidic of all?,0,"['NH<sub>3</sub>', 'NaOH', 'KOH', 'Alkaline KMnO<sub>4</sub>']",a,"In the listed options, except ammonia, every other compound is a strong base which automatically makes ammonia the most acidic relative to the mentioned compounds. Although it is a weak base, compared to NaOH, KOH and alkaline KMnO<sub>4</sub> it is the most acidic amongst the four options."
526,P-Block Elements,Ammonia,"In the Haber-Bosch process, what is formed by the reaction of natural gas and steam?",0,"['Ammonia', 'Nitrogen', 'Oxygen', 'Hydrogen']",d," The reaction of natural gas and steam is known as the steam reformation of methane. It is an utmost important step in the Bosch-Haber (industrial process to produce ammonia), which produces hydrogen gas, H<sub>2</sub>, one of the two reactants alongside nitrogen to produce ammonia in presence of iron catalyst."
527,P-Block Elements,Ammonia,Which of the following conditions would improve the yield of ammonia production from Bosch-Haber process?,0,"['High temperature, high pressure', 'High temperature, low pressure', 'Low temperature, low pressure', 'Low temperature, high pressure']",d,"Following the Le Chatelier’s principle, since the forward reaction is exothermic (i.e. N<sub>2</sub> + 3H<sub>2</sub> → 2NH<sub>3</sub>), low temperatures would increase the rate of reaction in turn producing more ammonia. In addition to this, since the total number of molecules on the product side lesser, high pressures will increase the rate of reaction."
528,P-Block Elements,Ammonia,Nitrogen in plants is taken in what form?,0,"['Ammonia', 'Amide', 'Nitrate', 'Nitrite']",c,"Plants take up nitrogen predominantly in the form of nitrate ions, along side ammonium ions. This is made available to them through fertilizers, whose typical examples usually include Ammonium Phosphate, calcium ammonium nitrate."
529,P-Block Elements,Nitrogen Oxides,Dinitrogen oxide is also called laughing gas.,0,"['True', 'False']",a,Dinitrogen oxide (N<sub>2</sub>O) or Nitrogen(I) oxide or nitrous oxide is also known as laughing gas. It is called so because of its intoxicating effects when inhaled. It is used in dentistry and surgery for its anaesthetic and analgesic effects.
530,P-Block Elements,Nitrogen Oxides,What is the range of the oxidation states shown by nitrogen in its oxides?,0,"['+1 to +3', '+2 to +4', '+1 to +2', '+1 to +5']",d,"Nitrogen in the ground state has a valency of 3 in its ground state and it has a valency of 5 in its excited state. Hence, it forms oxides with a wide range of oxidation states where the oxidation states vary from +1 to +5."
531,P-Block Elements,Nitrogen Oxides,Which of the following is true about dinitrogen oxide?,0,"['It is yellow in colour', 'The oxidation state of nitrogen is +5', 'It is basic in nature', 'It is a colourless gas']",d,Dinitrogen oxide (N<sub>2</sub>O) or Nitrogen (I) oxide is an oxide of nitrogen where nitrogen has an oxidation state of +1. It is a colourless gas which is neutral in nature and which has a sweet odour.
532,P-Block Elements,Nitrogen Oxides,Nitrogen monoxide reacts with oxygen to form nitrogen dioxide.,0,"['', 'True', 'False']",a,Nitrogen monoxide or Nitrogen(II) oxide or nitric oxide is a very reactive compound due to the presence of an odd electron(paramagnetic nature). It instantly reacts with oxygen to form nitrogen dioxide.
533,P-Block Elements,Nitrogen Oxides,What does dinitrogen oxide on reaction with sodamide produce?,0,"['Nitrogen gas', 'Nitric acid', 'Nitrogen dioxide', 'Sodium azide']",b,"Dinitrogen oxide (N<sub>2</sub>O) or Nitrogen(I) oxide, commonly called laughing gas, reacts with liquid sodamide or sodium amide (NaNH<sub>2</sub>) at a temperature of 473K in order to produce sodium azide (NaN<sub>3</sub>) and water."
534,P-Block Elements,Nitrogen Oxides,What temperature does dinitrogen oxide dissociate at?,0,"['543K', '600K', '873K', '435K']",c,"At a temperature of about 873K, dinitrogen oxide gas dissociates. Two molecules of dinitrogen oxide gas (N<sub>2</sub>O) dissociate to form oxygen gas (O<sub>2</sub>) and nitrogen gas (N<sub>2</sub>) in the ratio 1:2 respectively."
535,P-Block Elements,Nitrogen Oxides,What is the IUPAC name of NOCl?,0,"['Nitrogen monoxy chloride', 'Chloroxy nitrogen', 'Nitroxy chlorine', 'Nitrosyl chloride']",d,Nitrosylchloride is the IUPAC name with the formula (NOCl). It is a yellow coloured gas which is a strong oxidizing agent. Nitrogen monoxide reacts with chlorine in order to form nitrosyl chloride.
536,P-Block Elements,Nitrogen Oxides,Which of the following is not an alternative name of dinitrogen trioxide?,0,"['Nitrogen sesquioxide', 'Nitrogen (III) oxide', 'Anhydride of nitrous acid', 'Nitrogen peroxide']",d,"Dinitrogen trioxide is an oxide of nitrogen which can also be called as nitrogen sesquioxide, nitrogen (III) oxide or anhydride of nitrous acid. Nitrogen dioxide is also known as nitrogen peroxide."
537,P-Block Elements,Nitrogen Oxides,What colour does the compound dinitrogen trioxide appear in its liquid state?,0,"['It is colourless', 'Blue', 'Green', 'Yellow']",b,Dinitrogen trioxide (N<sub>2</sub>O<sub>3</sub>) is found to be blue in colour in both its liquid and solid state. The blue colouration tends to appear because dinitrogen trioxide is a radical pair of nitric oxide and nitrogen dioxide that tend to absorb strongly in the visible region to appear bright blue.
538,P-Block Elements,Nitrogen Oxides,Which of the following compounds can be identified as nitryl fluoride?,0,"['NO<sub>2</sub>F', 'NOF', 'NF<sub>3</sub>', 'N<sub>2</sub>F']",a,"Nitrogen dioxide (NO<sub>2</sub>), also known as nitrogen peroxide or nitrogen (IV) oxide, is paramagnetic in nature. So, it reacts with fluorine (F<sub>2</sub>) and chlorine (Cl<sub>2</sub>) forming their respective nitryl compounds. The chemical representation of nitryl fluoride is NO<sub>2</sub>F."
539,P-Block Elements,Nitrogen Oxides,Which of the following oxide can act as both reducing and oxidising agent?,0,"['Dinitrogen oxide', 'Nitric oxide', 'Nitrogen dioxide', 'Dinitrogen pentoxide']",b,Nitric oxide acts as both an oxidising agent and a reducing agent whereas all the other oxides of nitrogen act as oxidising agents only. The oxidising nature of nitric acid can be observed in its reaction with hydrogen sulphide while its reducing nature can be observed in its reaction with acidified potassium permanganate.
540,P-Block Elements,Nitrogen Oxides,Which of the following oxides of nitrogen is a neurotransmitter?,0,"['N<sub>2</sub>O', 'N<sub>2</sub>O<sub>4</sub>', 'NO<sub>2</sub>', 'NO']",d,"Although nitric acid (NO) is very reactive and harmful, it occurs in small traces in biological systems. It acts as a neurotransmitter and helps in controlling blood pressure by relaxing blood vessels."
541,P-Block Elements,Nitrogen Oxides,What are the complexes formed by nitric oxide with transition metals called?,0,"['Nitrones', 'Nitriles', 'Nitrates', 'Nitrosyls']",d,Nitric oxide (NO) readily forms complexes with transition metals. These complexes are called nitrosyls. Two important nitrosyl complexes are sodium nitroprusside and the nitroprusside anion.
542,P-Block Elements,Nitrogen Oxides,Which of the following statements is incorrect regarding dinitrogen pentoxide?,0,"['It is basic in nature', 'It is also known as the anhydride of nitric acid', 'It exists as a colourless solid below 273K', 'The oxidation state of nitrogen is +5']",a,"Dinitrogen pentoxide (N<sub>2</sub>O<sub>5</sub>), also known as nitrogen (V) oxide or anhydride of nitric acid, is an oxide of nitrogen which is acidic in nature. The oxidation state of nitrogen in it is +5. It exists as a solid below 273K and decomposes to form nitrogen dioxide, nitric oxide and oxygen above a temperature of 273K."
543,P-Block Elements,Nitrogen Oxides,What is the bond angle between the oxygen atoms in nitrogen dioxide?,0,"['120°', '124°', '130°', '134°']",d,"Ideally, according to its structure, the bond angle between the two oxygen atoms in nitrogen dioxide should be 120°. But, the one lone electron on the nitrogen atom exerts a less repulsion than normal on the two oxygen atoms. So, they spread out more, to form a bond angle of 134°."
544,P-Block Elements,Nitric Acid,Which of the following is not an oxo-acid of nitrogen?,0,"['Hyponitric acid', 'Hyponitrous acid', 'Nitrous acid', 'Nitric acid']",a,"Hyponitric acid does not exist. The rest three mentioned are commonly occurring oxoacids of nitrogen. Hyponitrous acid, H<sub>2</sub>N<sub>2</sub>O<sub>2</sub> is an isomer tautomer of nitramide, with the structure of the former being HON = NOH. Nitrous acid, HNO<sub>2</sub> is usually formed in the atmosphere prior conversion to nitric acid. It is highly unstable."
545,P-Block Elements,Nitric Acid,Which of the following is true regarding nitric acid?,0,"['It is a strong reducing agent', 'It is a weak oxidizing agent', 'Its basicity is unity', 'It is non-planar in gaseous state']",b,"Nitric acid is a very weak reducing agent since it has a polar O – H bond. This breaks to donate the H<sup>+</sup> ion which is why it is a strong oxidizing agent and a strong acid. Since there is only one cleavable O – H bond, the basicity of nitric acid is unity (one HNO<sub>3</sub> molecule can donate only 1 H<sup>+</sup> ion). It exists as a planar molecule in vapor phase."
546,P-Block Elements,Nitric Acid,Which of the following reactions best represents lab scale preparation of nitric acid?,0,"['3HNO<sub>2</sub> → HNO<sub>3</sub> + H<sub>2</sub>O + 2NO', 'NO<sub>2</sub> + O<sub>2</sub> → NO<sub>3</sub>', 'NaNO<sub>3</sub> + H<sub>2</sub>SO<sub>4</sub> → NaHSO<sub>4</sub> + HNO<sub>3</sub>', '3NO<sub>2</sub> + H<sub>2</sub>O → 2HNO<sub>3</sub> + NO']",c,"The most appropriate lab scale preparation method of nitric acid, HNO<sub>3</sub> is using an alkali nitrate salt and react it with concentration nitric acid in a glass retort.  Nitrous acid being highly unstable decomposes into nitric acid. The other two sets of reaction represent the industrial process of manufacturing nitric acid i.e. Ostwald’s process."
547,P-Block Elements,Nitric Acid,What is the name of the industrial process to manufacture nitric acid?,0,"['', 'Contact process', 'Haber-Bosch process', 'Solvay process', 'Ostwald’s process']",d,"Ostwald’s process is the name of the industrial process to manufacture nitric acid in bulk. It involves the oxidation of ammonia which forms nitric oxide. This is then reacted with more oxygen to produce nitrogen dioxide. Subsequently, nitrogen dioxide is dissolved in water to produce adequate concentrations of nitric acid. Contact process is used to produce sulfuric acid. Solvay is used to obtain sodium carbonate and Haber-Bosch to obtain ammonia."
548,P-Block Elements,Nitric Acid,What is the catalyst used in the industrial manufacture of nitric acid?,0,"['Powdered iron (III) oxide', 'Vanadium (V) oxide', 'Zinc-mercury amalgam', 'Platinum-Rhodium gauze sheet']",d,"Pt-Rh gauze sheet is widely used as the catalyst in ammonic oxidation, the first step of Ostwald’s process. Fe<sub>2</sub>O<sub>3</sub> is used in Haber’s process; V<sub>2</sub>O<sub>5</sub> in contact process and Zn (Hg) is used in Clemmensen reduction of aldehydes."
